criterioParada: p 	 regla: M 	 fold: 8	 rep: 5		 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004718 
criterioParada: p 	 regla: M 	 fold: 9 	 rep: 5 	 cantEpocas: 500 	 razon: maxEpocas 	 epocaOError: 0.004699 



criterioParada: o 	 regla: s 	 fold: 1 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.004782 
criterioParada: o 	 regla: s 	 fold: 2 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.004761 
criterioParada: o 	 regla: s 	 fold: 3 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.004757 
criterioParada: o 	 regla: s 	 fold: 4 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.003081 
criterioParada: o 	 regla: s 	 fold: 5 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.004759 
criterioParada: o 	 regla: s 	 fold: 6 	 rep: 1 	 cantEpocas: 250 	 razon: ortogonalidad 	 epocaOError: 18.000000 
criterioParada: o 	 regla: s 	 fold: 7 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.004805 
criterioParada: o 	 regla: s 	 fold: 8 	 rep: 1 	 cantEpocas: 250 	 razon: ortogonalidad 	 epocaOError: 12.000000 
criterioParada: o 	 regla: s 	 fold: 9 	 rep: 1 	 cantEpocas: 250 	 razon: maxEpocas 	 epocaOError: 0.004733 
criterioParada: o 	 regla: M 	 fold: 1 	 rep: 1 	 cantEpocas: 250 	 razon: ortogonalidad 	 epocaOError: 25.000000 
criterioParada: o 	 regla: M 	 fold: 2 	 rep: 1 	 cantEpocas: 250 	 razon: ortogonalidad 	 epocaOError: 30.000000 
criterioParada: o 	 regla: M 	 fold: 3 	 rep: 1 	 cantEpocas: 250 	 razon: ortogonalidad 	 epocaOError: 25.000000 
criterioParada: o 	 regla: M 	 fold: 4 	 rep: 1 	 cantEpocas: 250 	 razon: ortogonalidad 	 epocaOError: 29.000000 
